1;201;1;2;145.0
2;101;2;1;165.0
3;601;3;6;125.0
4;401;4;4;185.0
5;701;5;7;425.0
6;702;1;7;145.0
7;202;2;2;165.0
8;501;3;5;125.0
9;203;4;2;185.0
10;602;5;6;425.0
11;301;1;3;145.0
12;402;2;4;165.0
13;204;3;2;125.0
14;205;4;2;185.0
15;703;5;7;425.0
16;403;1;4;145.0
17;704;2;7;165.0
18;102;3;1;125.0
19;103;4;1;185.0
20;502;5;5;425.0
21;302;1;3;145.0
22;705;2;7;165.0
23;503;3;5;125.0
24;206;4;2;185.0
25;104;5;1;425.0
26;207;1;2;145.0
27;706;2;7;165.0
28;603;3;6;125.0
29;105;4;1;185.0
30;106;5;1;425.0
31;707;1;7;145.0
32;208;2;2;165.0
33;708;3;7;125.0
34;404;4;4;185.0
35;504;5;5;425.0
36;209;1;2;145.0
37;709;2;7;165.0
38;710;3;7;125.0
39;303;4;3;185.0
40;210;5;2;425.0
41;211;1;2;145.0
42;212;2;2;165.0
43;604;3;6;125.0
44;405;4;4;185.0
45;107;5;1;425.0
46;108;1;1;145.0
47;505;2;5;165.0
48;711;3;7;125.0
49;506;4;5;185.0
50;507;5;5;425.0
51;213;1;2;145.0
52;712;2;7;165.0
53;406;3;4;125.0
54;109;4;1;185.0
55;713;5;7;425.0
56;214;1;2;145.0
57;508;2;5;165.0
58;509;3;5;125.0
59;714;4;7;185.0
60;304;5;3;425.0
61;215;1;2;145.0
62;715;2;7;165.0
63;407;3;4;125.0
64;408;4;4;185.0
65;110;5;1;425.0
66;409;1;4;145.0
67;111;2;1;165.0
68;716;3;7;125.0
69;605;4;6;185.0
70;717;5;7;425.0
71;410;1;4;145.0
72;606;2;6;165.0
73;510;3;5;125.0
74;411;4;4;185.0
75;112;5;1;425.0
76;412;1;4;145.0
77;113;2;1;165.0
78;607;3;6;125.0
79;413;4;4;185.0
80;216;5;2;425.0
81;217;1;2;145.0
82;608;2;6;165.0
83;218;3;2;125.0
84;114;4;1;185.0
85;219;5;2;425.0
86;220;1;2;145.0
87;115;2;1;165.0
88;305;3;3;125.0
89;718;4;7;185.0
90;116;5;1;425.0
91;719;1;7;145.0
92;720;2;7;165.0
93;609;3;6;125.0
94;221;4;2;185.0
95;610;5;6;425.0
96;414;1;4;145.0
97;306;2;3;165.0
98;721;3;7;125.0
99;722;4;7;185.0
100;723;5;7;425.0
